file_id,filename,absolute_path,file_extension,size_bytes,modify_datetime,md5_checksum,sha256_checksum
33,2014-01-31_JA-america.tsv,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/2014-01-31_JA-america.tsv,.tsv,7731914,2022-10-05T13:54:22,c77ed0104498a43fc8dc86667825c156,b4c735efc0a0c48f68675f9d5a7fd3f9b0968a23c06bd7b3bff59e618f6cb7c1
34,33504-0.txt,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/33504-0.txt,.txt,586635,2022-10-05T13:54:22,8dbc442349ab803233675ceba13f5a95,9a79020777b51d59898efad728c75ccfe63d357197a0855fbe2ff7e9105022f0
35,pg514.txt,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/pg514.txt,.txt,1032418,2022-10-05T13:54:22,586511c9a49eb98e54b189b1dd4822ab,5638f6bd84a0646b6b0e7f53f3a50a2c755356f88da7c7c17b1b7cdb1103b582
36,2014-01-31_JA-africa.tsv,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/2014-01-31_JA-africa.tsv,.tsv,3773660,2022-10-05T13:54:22,7bf627c61206e593714fb43b49997261,12f69a90589e04dfd83f10b975f90e5ac577c1ae6a52eefb2f7af91794032678
37,2014-02-02_JA-britain.tsv,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/2014-02-02_JA-britain.tsv,.tsv,1453418,2022-10-05T13:54:22,a83e9a6514b01567b2cf861d6a00acea,7ebe69dc38d60e50980fcbd01bc5910a611e6850a879067097c5fc74cd252776
38,829-0.txt,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/829-0.txt,.txt,602147,2022-10-05T13:54:22,cf3f6ce27978e65233025af7f876ffdb,1e9e6adeaef08cb43658ccbaf30301ee3a0f7955d33e495b36fe588860962e06
39,diary.html,/Users/summermengarelli/Downloads/networked-services-labs/data/shell-tests/diary.html,.html,18417,2022-10-05T13:54:22,f4c84f039ae0079764ee73b7d0401b85,9c032456cba7fb29993d70d4cdaf053323f7974e488ebaaf4e26f0f2639ef069
40,animals.csv,/Users/summermengarelli/Downloads/networked-services-labs/data/animal-counts/animals.csv,.csv,155,2022-10-05T13:54:22,c2ed3b02105dd0081eac853bdf2edf9f,6a9e24d8d7d1597516fd37309992f794b851d2403a668ac1a321194429e7ed11
41,html-with-script.html,/Users/summermengarelli/Downloads/networked-services-labs/data/html-exercise/html-with-script.html,.html,1398,2022-10-05T13:54:22,ac8369049a6253ee1e4c21ef7bf3a22d,bd25a58bf5a41dfa8104de3fc1da52f4851d2fb76fd19a5760dff637c28b2013
42,script.js,/Users/summermengarelli/Downloads/networked-services-labs/data/html-exercise/script.js,.js,222,2022-10-05T13:54:22,d4b267d6618ada33db659d8f318780a5,b020324403c7087f8293bc4c7e4150363a55643371d2cefa04b1748f54574770
43,style.css,/Users/summermengarelli/Downloads/networked-services-labs/data/html-exercise/style.css,.css,138,2022-10-05T13:54:22,b80e739a8a0bcdda9f98a5aa04e67267,9a07066bfe539907ba85ccdc928a3b5e9dc46b20314622bd3204e5fc12df6b04
44,diary-04-23-20.docx,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/diary-04-23-20.docx,.docx,12070,2022-10-05T13:54:22,a0d898c9eb87b9369459add1248e1a5a,67d1da40d5dcb38d5e9d8def88c6ccbfbf8433f32a5be66a05278b098f533d3e
45,observations-03-30-2018.csv,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/observations-03-30-2018.csv,.csv,43,2022-10-05T13:54:22,2c463d4c553bae473458bc85268b91fc,67aa28340dc80e29f7f58e72cfc3ab386c044ea2e9fad66e1c26b2539b3717d0
46,08-12-1997-items.xlsx,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/08-12-1997-items.xlsx,.xlsx,8844,2022-10-05T13:54:22,ed7237c18fc5f0219a5ea4e6e515ad87,00f7d37ab2567753a7463f62fc117b67617ec09938ef36587bbcefc8274e0b92
47,diary-04-23-19.doc,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/diary-04-23-19.doc,.doc,22528,2022-10-05T13:54:22,2051bff468973af520ee2d603961bbf9,ecfb19bcc3c05513680f6060f1a0864aac428f38dcdcedc6fbf7f65e7fa50b2e
48,08-12-1997-items.xls,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/08-12-1997-items.xls,.xls,25600,2022-10-05T13:54:22,9eed152f17df51ce627bba4ace26ed6a,2d9fbcdd272d2aaa7693855e7401abf20fedee1318f3316cd6044b0fc74e4550
49,books-on-shelves12-3-2002.txt,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/books-on-shelves12-3-2002.txt,.txt,66,2022-10-05T13:54:22,4a7d7224626c241e188c85a5072c9a7e,d88753e626ed68d625833521f549b2d3f2ab1b4cbc0df64b5fe28bb4b85e7f37
50,sightings-202203.jpg,/Users/summermengarelli/Downloads/networked-services-labs/data/filenames-with-american-dates/sightings-202203.jpg,.jpg,57527,2022-10-05T13:54:22,4be180ad9340536ed320a0761c2634a9,5efe19fbaa24934bd151502c06bde08d10d0b915ae432ac01deffeab8e332f7c
